	study	output_type	pk	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median	category	route	unit_intervention	substance_name_intervention	value_intervention	time_unit_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	subject_type	subject_pk	('study', '')	('subject_name', '')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('sex', 'unit')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('smoking', 'choice')	('smoking', 'count')	('smoking', 'unit')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'unit')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('medication', 'choice')	('medication', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('disease', 'choice')	('disease', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('bmi', 'value')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'cv')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('smoking amount (cigarettes)', 'value')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('phenotype', 'choice')	('phenotype', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'mean')	('fasted', 'min')	('fasted', 'unit')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'min')	('alcohol abstinence', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('medication type', 'choice')	('medication type', 'count')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('height', 'value')	('CYP2D6 genotype', 'choice')	('CYP2D6 genotype', 'count')	('obesity index', 'count')	('obesity index', 'cv')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('obese', 'choice')	('obese', 'count')	('obese', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')	('caffeine amount (beverages)', 'value')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('consumption', 'choice')	('consumption', 'count')	('consumption', 'cv')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'se')	('consumption', 'unit')	('caffeine', 'choice')	('caffeine', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'max')	('disease duration', 'mean')	('disease duration', 'min')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('HbA1c', 'count')	('HbA1c', 'cv')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('LDL-C', 'count')	('LDL-C', 'cv')	('LDL-C', 'mean')	('LDL-C', 'se')	('LDL-C', 'unit')	('LDL-H', 'count')	('LDL-H', 'cv')	('LDL-H', 'mean')	('LDL-H', 'se')	('LDL-H', 'unit')	('triglyceride', 'count')	('triglyceride', 'cv')	('triglyceride', 'mean')	('triglyceride', 'se')	('triglyceride', 'unit')	('cholesterol', 'count')	('cholesterol', 'cv')	('cholesterol', 'mean')	('cholesterol', 'se')	('cholesterol', 'unit')	('body surface area', 'count')	('body surface area', 'cv')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('genetics', 'choice')	('genetics', 'count')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('fat weight', 'count')	('fat weight', 'cv')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')
0	Kim2002	timecourses	910	plasma	codeine	concentration	µg/ml	628			238.0	[0.00416 0.0748  0.179   0.125   0.0624  0.0166  0.0166  0.0166 ]	[nan nan nan nan nan nan nan nan]	[nan nan nan nan nan nan nan nan]	h	[ 0.103  0.671  1.14   2.17   4.13   8.16  11.5   23.8  ]		/media/data/Kim2002_Fig1A.png	0.8412655949845196	0.10068264779510573				dosing	oral	mg/kg	codeine	4200.0	h	0.0							group	238	Kim2002	all_16	homo sapiens	19	Y	19.0	('F', 'M')	(7, 12)		19.0	0.138	43.0	34.8		23.0		1.1	yr					19.0	0.19	106.0	78.0		56.6		3.4	kg		drug	19		2.00e+01	day			N	19	('hispanic', 'caucasian', 'african')	(2, 3, 14)																																																																																																																																																																																									
1	Kim2002	timecourses	909	plasma	codeine	concentration	µg/ml	630			239.0	[0.     0.328  0.399  0.32   0.183  0.0665 0.0333 0.0166]	[nan nan nan nan nan nan nan nan]	[nan nan nan nan nan nan nan nan]	h	[ 0.258  0.671  1.19   2.17   4.13   8.16  11.7   23.8  ]		/media/data/Kim2002_Fig1A.png	2.0831900749656893	0.1426005300677664				dosing	oral	mg/kg	codeine	8400.0	h	0.0							group	239	Kim2002	all_14	homo sapiens	19	Y	19.0	('F', 'M')	(7, 12)		19.0	0.138	43.0	34.8		23.0		1.1	yr					19.0	0.19	106.0	78.0		56.6		3.4	kg		drug	19		2.00e+01	day			N	19	('hispanic', 'caucasian', 'african')	(2, 3, 14)																																																																																																																																																																																									
2	Mohammed1993	timecourses	1230	plasma	codeine	concentration	µg/ml	648			251.0	"[0.00159 0.0146  0.106   0.143   0.125   0.106   0.0857  0.0659  0.0506
 0.0318  0.0222  0.00991 0.00534     nan     nan]"	"[0.000182 0.00227  0.0197   0.0118   0.0077   0.00573  0.0119   0.0122
 0.0114        nan 0.0051   0.00289  0.00156       nan      nan]"	"[0.256 0.347 0.416 0.184 0.138 0.121 0.31  0.416 0.505   nan 0.514 0.652
 0.652   nan   nan]"	h	"[ 0.235  0.329  0.472  0.757  1.5    2.04   3.04   4.01   5.01   6.01
  7.99   9.98  12.       nan    nan]"	"[0.000407 0.00508  0.0441   0.0263   0.0172   0.0128   0.0265   0.0274
 0.0256        nan 0.0114   0.00646  0.00348       nan      nan]"	/media/data/Mohammed1993_Fig1.png						dosing	oral	mg	codeine	60.0	h	0.0							group	251	Mohammed1993	sickle cell	homo sapiens	10	N	5.0				5.0	0.13	25.0	23.0		18.0	3.0	1.34	yr					5.0	0.258	88.0	66.0		48.0	17.0	7.6	kg													Y	10.0	sickle cell	5.0																																																																																																																																																																																					
3	Mohammed1993	timecourses	1229	plasma	codeine	concentration	µg/ml	648			252.0	"[0.00165 0.0136  0.0421  0.143   0.199   0.159   0.13    0.118   0.0958
 0.0764  0.0644  0.0451  0.0346  0.0232  0.0123 ]"	"[    nan 0.0334      nan 0.0454  0.0473  0.0378  0.0118      nan 0.0159
 0.0127  0.0137  0.00747 0.00652 0.00283 0.00217]"	"[  nan 5.49    nan 0.711 0.531 0.532 0.204   nan 0.37  0.37  0.476 0.37
 0.422 0.272 0.396]"	h	"[ 0.235  0.303  0.337  0.475  0.811  1.12   1.53   2.01   2.99   4.09
  5.12   5.99   7.99  10.    12.   ]"	"[    nan 0.0747      nan 0.101   0.106   0.0846  0.0264      nan 0.0355
 0.0283  0.0307  0.0167  0.0146  0.00632 0.00486]"	/media/data/Mohammed1993_Fig1.png	0.7389840558499999	0.226825178873512				dosing	oral	mg	codeine	60.0	h	0.0							group	252	Mohammed1993	healthy	homo sapiens	10	Y	5.0				5.0	0.0435	24.0	23.0		22.0	1.0	0.447	yr					5.0	0.147	88.0	75.0		58.0	11.0	4.92	kg													Y	10.0																																																																																																																																																																																							
4	Lia2009	timecourses	953	plasma	codeine	concentration	µg/ml	640			247.0	"[0.000244 0.0066   0.0279   0.0326   0.0329   0.0312   0.0298   0.0249
 0.0198   0.0166   0.0101   0.00623  0.00257 ]"	"[     nan 0.00169  0.00454  0.00333  0.00186  0.00284  0.00189  0.00139
 0.00101  0.00101  0.000629 0.00041  0.000246]"	"[  nan 1.15  0.728 0.457 0.253 0.408 0.283 0.25  0.228 0.272 0.277 0.294
 0.429]"	h	"[ 0.0531  0.239   0.504   0.77    1.04    1.35    1.46    2.04    2.97
  4.06    6.      7.94   11.9   ]"	"[    nan 0.00758 0.0203  0.0149  0.00831 0.0127  0.00844 0.00623 0.00452
 0.00452 0.00281 0.00183 0.0011 ]"	/media/data/Liao2009_Fig4.png	0.15133879479627665	0.2352094724052489				dosing	oral	mg	codeine	30.0	h	0.0	tablet						group	247	Lia2009	all	homo sapiens	20	Y	20.0	M	20																														N				asian	20																																																																																																																																																																																									
5	O'Neal1999	timecourses	1287	plasma	codeine	concentration	µg/ml	654			256.0	[0.    0.012 0.038 0.037 0.034 0.018 0.009 0.005 0.004 0.002 0.   ]	"[     nan 0.000631 0.00146  0.000849 0.000655 0.000437 0.000267 0.000194
 0.00017  0.000146      nan]"	"[   nan 0.217  0.158  0.0946 0.0794 0.1    0.122  0.16   0.175  0.3
    nan]"	h	[ 0.    0.25  0.5   1.    2.    4.    6.    8.   10.   12.   24.  ]	"[   nan 0.0026 0.006  0.0035 0.0027 0.0018 0.0011 0.0008 0.0007 0.0006
    nan]"	/media/data/ONeal1999_Fig2.png	0.182					dosing	oral	mg	codeine	30.0	h	0.0							group	256	O'Neal1999	all	homo sapiens	17	Y	17.0																																		N	17																																																																																																																																																																																											
6	Wu2014	timecourses	1323	plasma	codeine	concentration	µg/ml	682			267.0	"[0.000458 0.00938  0.0257   0.0395   0.0347   0.0241   0.0182   0.0114
 0.00656  0.00405  0.00215  0.000463]"	"[    nan 0.00328 0.00569 0.00487 0.00492 0.0021  0.00118 0.0034  0.00325
 0.00135 0.00104 0.00108]"	[  nan 1.05  0.665 0.37  0.425 0.262 0.194 0.896 1.48  1.    1.46  6.98 ]	h	[ 0.    0.25  0.5   1.    2.    3.    4.    6.    8.   10.   12.   24.  ]	"[    nan 0.00985 0.0171  0.0146  0.0148  0.00631 0.00354 0.0102  0.00975
 0.00405 0.00313 0.00323]"	/media/data/Wu2014_Fig1.png	0.1896014295	0.2013199410959941				dosing	oral	mg	codeine	30.0	h	0.0	tablet						group	267	Wu2014	*10/*10	homo sapiens	29	Y	29.0	('F', 'M')	(14, 15)		29.0		24.0			20.0			yr															('medication', 'grapefruit juice', 'caffeine')	(29, 29, 29)		('2.00e+00', '3.00e+00', '3.00e+00')	('week', 'day', 'day')			N	29.0	asian	29					29.0		24.0			18.0			kg/m^2																				29.0		12.0		h																								*10/*10	9																																																																																																																											
7	Wu2014	timecourses	1319	plasma	codeine	concentration	µg/ml	682			266.0	"[3.09e-04 9.68e-03 2.69e-02 3.34e-02 3.04e-02 2.52e-02 1.82e-02 9.85e-03
 6.56e-03 4.21e-03 2.15e-03 2.10e-06]"	"[     nan 0.00321  0.00501  0.00686  0.00594  0.00355  0.00302  0.00209
 0.00112  0.000632 0.000488      nan]"	[  nan 1.05  0.589 0.65  0.617 0.446 0.524 0.672 0.539 0.475 0.717   nan]	h	[ 0.    0.25  0.5   1.    2.    3.    4.    6.    8.   10.   12.   24.  ]	"[    nan 0.0102  0.0158  0.0217  0.0188  0.0112  0.00954 0.00662 0.00354
 0.002   0.00154     nan]"	/media/data/Wu2014_Fig1.png	0.17674962500000002	0.4120640206723055				dosing	oral	mg	codeine	30.0	h	0.0	tablet						group	266	Wu2014	*1/*10	homo sapiens	29	Y	29.0	('F', 'M')	(14, 15)		29.0		24.0			20.0			yr															('medication', 'grapefruit juice', 'caffeine')	(29, 29, 29)		('2.00e+00', '3.00e+00', '3.00e+00')	('week', 'day', 'day')			N	29.0	asian	29					29.0		24.0			18.0			kg/m^2																				29.0		12.0		h																								*1/*10	10																																																																																																																											
8	Wu2014	timecourses	1315	plasma	codeine	concentration	µg/ml	682			265.0	"[0.00031  0.0169   0.0384   0.0417   0.029    0.0222   0.0157   0.00892
 0.0058   0.00313  0.00185  0.000313]"	"[     nan 0.000876 0.00131  0.00413  0.00272  0.00253  0.0018   0.00126
 0.000728 0.000875 0.000584 0.000145]"	[  nan 0.164 0.108 0.314 0.297 0.36  0.361 0.448 0.397 0.884 1.    1.47 ]	h	[ 0.    0.25  0.5   1.    2.    3.    4.    6.    8.   10.   12.   24.  ]	"[     nan 0.00277  0.00415  0.0131   0.00861  0.008    0.00569  0.004
 0.0023   0.00277  0.00185  0.000459]"	/media/data/Wu2014_Fig1.png	0.175316325	0.2150039377875612				dosing	oral	mg	codeine	30.0	h	0.0	tablet						group	265	Wu2014	*1/*1	homo sapiens	29	Y	29.0	('F', 'M')	(14, 15)		29.0		24.0			20.0			yr															('medication', 'grapefruit juice', 'caffeine')	(29, 29, 29)		('2.00e+00', '3.00e+00', '3.00e+00')	('week', 'day', 'day')			N	29.0	asian	29					29.0		24.0			18.0			kg/m^2																				29.0		12.0		h																								*1/*1	10																																																																																																																											
9	Wu2013	timecourses	1302	plasma	codeine	concentration	µg/ml	680			263.0	"[     nan 0.0119        nan 0.0299   0.0331   0.0265   0.0204   0.0145
 0.00888  0.00556  0.0031   0.00169  0.000173]"	"[     nan 0.00173       nan 0.00489  0.00365  0.00225  0.00214  0.00137
 0.00104  0.000632 0.000412 0.000439      nan]"	"[  nan 0.46    nan 0.516 0.349 0.268 0.332 0.299 0.372 0.36  0.42  0.821
   nan]"	h	"[   nan  0.247    nan  0.501  1.05   2.09   3.     4.02   6.     7.99
  9.97  12.    24.   ]"	"[    nan 0.00547     nan 0.0155  0.0115  0.00712 0.00677 0.00434 0.0033
 0.002   0.0013  0.00139     nan]"	/media/data/Wu2013_Fig4.png						dosing	oral	mg	codeine	30.0	h	0.0	tablet						group	263	Wu2013	all	homo sapiens	10	Y	10.0				10.0		25.0			20.0			yr																								asian	10					10.0		24.0			20.0			kg/m^2																				10.0		12.0		h																																																																																																																																																				
