pk	interventions	tissue	time_unit	time	substance_name	pktype	unit	figure	group_pk	mean	auc_end	kel	se	individual_pk	value	sd	cv	median	max	min
678	256	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 240.0, 360.0, 480.0, 660.0, 840.0]	caffeine	concentration	mg/l	/media/data/Haller2002_Fig1.png	223.0	[1.09, 3.16, 5.13, 5.43, 5.41, 4.45, 3.74, 3.11, 2.3, 1.74]	2853.6	0.0015756141097393714	[0.56, 0.56, 0.51, 0.63, 0.56, 0.53, 0.45, 0.45, 0.43, 0.4]							
756	354	saliva	h	[0.0, 0.5, 1.0, 1.5, 2.0, 4.0, 6.0, 8.0, 10.0, 24.0]	paraxanthine/caffeine	ratio	-	/media/data/Perera2011_Fig1.png	244.0	[0.219, 0.123, 0.194, 0.239, 0.281, 0.466, 0.69, 0.882, 0.934, 1.708]	24.188000000000002		[0.201927049533571, 0.03286335345031, 0.0407140434412173, 0.0514859204054856, 0.0582411652813827, 0.0985900603509299, 0.185677946994251, 0.322973734742213, 0.362044610510915, 2.7103137887214]			[1.106, 0.18, 0.223, 0.282, 0.319, 0.54, 1.017, 1.769, 1.983, 14.845]	[5.05022831050228, 1.46341463414634, 1.14948453608247, 1.17991631799163, 1.13523131672598, 1.1587982832618, 1.47391304347826, 2.00566893424036, 2.12312633832976, 8.69145199063232]			
758	354	saliva	h	[0.0, 0.5, 1.0, 1.5, 2.0, 4.0, 6.0, 8.0, 10.0, 24.0]	caffeine	concentration	µg/ml	/media/data/Perera2011_Fig1.png	243.0	[0.006, 1.712, 1.592, 1.397, 1.289, 0.989, 0.789, 0.639, 0.496, 0.123]	13.62625	0.10906919087676999	[0.162308451207364, 0.178740127932519, 0.183487056764231, 0.183669630950066, 0.178740127932519, 0.176549237702499, 0.174175773286643, 0.169428844454931, 0.190607450011798, 0.178922702118354]			[0.889, 0.979, 1.005, 1.006, 0.979, 0.967, 0.954, 0.928, 1.044, 0.98]	[148.166666666667, 0.571845794392523, 0.631281407035176, 0.720114531138153, 0.759503491078355, 0.977755308392316, 1.20912547528517, 1.45226917057903, 2.10483870967742, 7.96747967479675]			
760	354	saliva	h	[0.0, 0.5, 1.0, 1.5, 2.0, 4.0, 6.0, 8.0, 10.0, 24.0]	paraxanthine	concentration	µg/ml	/media/data/Perera2011_Fig1.png	243.0	[0.232, 0.371, 0.43, 0.475, 0.494, 0.572, 0.556, 0.561, 0.534, 0.21]	10.4335	0.05819497348452523	[0.0447306755295886, 0.0447306755295886, 0.0445481013437535, 0.0494776043613, 0.0518510687771557, 0.0447306755295886, 0.03286335345031, 0.0352368178661657, 0.0376102822820214, 0.0447306755295886]			[0.245, 0.245, 0.244, 0.271, 0.284, 0.245, 0.18, 0.193, 0.206, 0.245]	[1.05603448275862, 0.660377358490566, 0.567441860465116, 0.570526315789474, 0.574898785425101, 0.428321678321678, 0.323741007194245, 0.344028520499109, 0.385767790262172, 1.16666666666667]			
762	354	saliva	h	[0.0, 0.5, 1.0, 1.5, 2.0, 4.0, 6.0, 8.0, 10.0, 24.0]	paraxanthine/caffeine	ratio	-	/media/data/Perera2011_Fig1.png	243.0	[None, 0.217, 0.27, 0.34, 0.383, 0.579, 0.705, 0.878, 1.076, 1.707]		-0.0824606415300405	[None, 0.0345065211228255, 0.0418094885562277, 0.0569631459805373, 0.0666395778297952, 0.112830846846064, 0.161030431906519, 0.239354757629758, 0.420468349978132, 2.50510040384279]			[None, 0.189, 0.229, 0.312, 0.365, 0.618, 0.882, 1.311, 2.303, 13.721]	[None, 0.870967741935484, 0.848148148148148, 0.917647058823529, 0.953002610966058, 1.06735751295337, 1.25106382978723, 1.49316628701595, 2.14033457249071, 8.03807850029291]			
763	354	plasma	h	[0.0, 1.0, 2.0, 4.0, 6.0, 8.0, 10.0]	paraxanthine/caffeine	ratio	-	/media/data/Perera2011_Fig2.png	244.0	[2.778, 0.2013, 0.2619, 0.4534, 0.6828, 0.8147, 0.9955]	6.88045	-0.17957379144983435								
764	354	plasma	h	[0.0, 1.0, 2.0, 4.0, 6.0, 8.0, 10.0]	paraxanthine/caffeine	ratio	-	/media/data/Perera2011_Fig2.png	243.0	[1.0127, 0.2988, 0.3865, 0.5508, 0.7153, 0.8797, 1.0225]	6.699									
765	354	saliva	h	[0.0, 1.0, 2.0, 4.0, 6.0, 8.0, 10.0]	paraxanthine/caffeine	ratio	-	/media/data/Perera2011_Fig2.png	243.0	[0.773, 0.2631, 0.4215, 0.6205, 0.6882, 0.9003, 1.0469]	6.7467500000000005									
766	354	saliva	h	[0.0, 1.0, 2.0, 4.0, 6.0, 8.0, 10.0]	paraxanthine/caffeine	ratio	-	/media/data/Perera2011_Fig2.png	244.0	[4.9258, 0.1846, 0.3037, 0.424, 0.6885, 0.848, 0.9683]	7.99235	-0.1788618625585976								
796	366	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[45.41, 114.0, 184.63, 250.87, 226.38, 226.27, 198.3, 171.21, 120.33, 96.5, 59.37, 37.61]	857.5695	0.2637894079718936	[5.1406662992262, 22.1925463275398, 22.1677975901983, 13.9724299962462, 8.62670273047588, 13.9688944623402, 12.2400183823391, 8.51356564548603, 9.6661496988201, 5.36340493529996, 2.95217081145384, 2.31931024229188]			[14.54, 62.77, 62.7, 39.52, 24.4, 39.51, 34.62, 24.08, 27.34, 15.17, 8.35, 6.56]	[0.320193789914116, 0.550614035087719, 0.339598115149217, 0.157531789372982, 0.107783373089496, 0.174614398727184, 0.174583963691377, 0.140645990304305, 0.227208509931023, 0.15720207253886, 0.140643422604009, 0.174421696357352]			
